,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome
27,28,admin.,single,tertiary,no,373,yes,no,cellular,14,aug,1,79,4,other
28,43,services,divorced,secondary,no,-287,yes,no,cellular,20,apr,4,-1,0,unknown
29,42,entrepreneur,single,secondary,no,1049,yes,yes,cellular,20,apr,1,-1,0,unknown
30,35,technician,single,secondary,no,-89,yes,no,cellular,15,may,1,368,1,failure
31,32,blue-collar,married,secondary,no,1912,yes,no,telephone,17,apr,1,-1,0,unknown
32,59,management,divorced,tertiary,no,0,no,no,telephone,30,jul,3,-1,0,unknown
33,35,blue-collar,married,primary,no,767,yes,no,unknown,16,may,2,-1,0,unknown
34,33,blue-collar,single,primary,no,405,yes,no,cellular,14,may,4,353,1,failure
35,53,blue-collar,married,secondary,no,285,yes,yes,telephone,30,jul,4,-1,0,unknown
36,56,retired,married,secondary,no,-113,yes,yes,cellular,12,aug,2,-1,0,unknown
37,29,management,married,tertiary,no,6586,no,no,cellular,10,jul,1,-1,0,unknown
38,47,unemployed,married,primary,no,2290,yes,no,cellular,7,apr,1,-1,0,unknown
39,36,admin.,single,secondary,no,135,no,no,unknown,5,jun,1,-1,0,unknown
40,29,management,married,tertiary,no,1,yes,yes,unknown,16,may,1,-1,0,unknown
41,56,management,married,tertiary,no,21664,no,no,unknown,17,jun,8,-1,0,unknown
42,33,blue-collar,married,primary,no,-342,yes,no,unknown,28,may,2,-1,0,unknown
43,40,admin.,married,secondary,no,168,yes,no,cellular,7,may,2,169,1,failure
44,32,technician,married,secondary,no,-410,yes,yes,cellular,12,may,3,-1,0,unknown
45,39,technician,married,secondary,no,1965,yes,no,unknown,2,jun,1,-1,0,unknown
46,33,admin.,divorced,tertiary,no,777,no,yes,cellular,25,may,1,-1,0,unknown
47,58,technician,married,tertiary,no,12322,no,no,telephone,2,jun,2,-1,0,unknown
48,48,management,married,tertiary,no,0,no,yes,cellular,6,feb,3,-1,0,unknown
49,51,unemployed,married,secondary,no,636,no,no,cellular,30,jan,1,-1,0,unknown
50,35,services,divorced,secondary,no,78,yes,no,telephone,13,may,3,371,3,failure
51,30,self-employed,single,tertiary,no,48,no,no,cellular,21,nov,1,-1,0,unknown
52,37,blue-collar,married,secondary,no,-251,yes,no,cellular,12,may,3,370,1,failure
53,37,technician,divorced,secondary,no,-24,yes,no,cellular,4,feb,2,-1,0,unknown
54,43,admin.,married,secondary,no,544,yes,no,cellular,7,may,1,-1,0,unknown
55,35,management,married,secondary,no,2311,yes,no,cellular,5,may,1,167,1,failure
56,60,admin.,married,secondary,no,504,no,no,unknown,16,jun,4,-1,0,unknown
57,53,technician,married,primary,no,311,no,no,telephone,28,jan,3,-1,0,unknown
58,36,blue-collar,married,secondary,no,1272,yes,no,cellular,17,apr,1,-1,0,unknown
59,30,services,single,unknown,no,138,yes,no,cellular,20,apr,1,-1,0,unknown
60,35,admin.,single,secondary,no,855,yes,no,unknown,12,may,3,-1,0,unknown
61,56,blue-collar,married,primary,no,-85,yes,yes,unknown,26,may,1,-1,0,unknown
62,58,retired,married,primary,no,196,yes,no,unknown,19,may,1,-1,0,unknown
63,40,housemaid,married,secondary,no,1783,yes,yes,cellular,19,nov,1,-1,0,unknown
64,31,blue-collar,married,secondary,no,799,yes,no,cellular,21,jul,1,-1,0,unknown
65,38,unemployed,single,secondary,no,7159,no,no,telephone,30,jul,2,-1,0,unknown
66,54,management,married,tertiary,no,107,yes,no,unknown,29,may,3,-1,0,unknown
67,49,blue-collar,married,primary,yes,-98,yes,no,cellular,20,nov,2,-1,0,unknown
68,25,services,married,secondary,no,4522,yes,no,cellular,18,may,4,-1,0,unknown
69,53,technician,divorced,secondary,no,0,yes,yes,cellular,15,jul,5,-1,0,unknown
70,34,blue-collar,single,secondary,no,375,yes,no,cellular,20,apr,1,-1,0,unknown
71,58,retired,married,tertiary,no,0,no,no,unknown,6,may,1,-1,0,unknown
72,60,admin.,married,unknown,no,1088,yes,no,cellular,26,may,1,-1,0,unknown
73,22,services,single,secondary,no,236,yes,no,cellular,18,may,2,-1,0,unknown
74,25,unknown,single,unknown,no,329,yes,no,unknown,14,may,2,-1,0,unknown
75,31,management,married,secondary,no,2019,no,no,unknown,7,may,2,-1,0,unknown
76,30,blue-collar,married,secondary,no,246,yes,no,cellular,17,apr,1,150,7,failure
77,58,technician,divorced,secondary,no,0,yes,no,unknown,26,may,2,-1,0,unknown
78,51,blue-collar,divorced,secondary,no,1069,yes,no,unknown,30,may,2,-1,0,unknown
79,48,management,married,tertiary,no,58,no,yes,cellular,14,jul,2,-1,0,unknown
80,39,blue-collar,married,secondary,no,285,yes,yes,unknown,6,may,1,-1,0,unknown
81,39,blue-collar,married,secondary,no,298,yes,no,unknown,20,may,1,-1,0,unknown
82,50,housemaid,divorced,secondary,no,0,no,no,telephone,13,aug,1,105,2,failure
83,41,technician,married,secondary,no,0,no,no,unknown,20,jun,2,-1,0,unknown
84,44,blue-collar,married,secondary,no,-182,yes,yes,cellular,14,may,10,-1,0,unknown
85,32,blue-collar,married,primary,no,2456,yes,no,cellular,17,jul,1,-1,0,unknown
86,46,unemployed,divorced,secondary,yes,22,no,no,cellular,6,feb,10,-1,0,unknown
87,36,admin.,married,secondary,no,725,yes,no,cellular,27,feb,3,99,8,failure
88,42,management,married,tertiary,no,441,no,no,cellular,7,aug,9,-1,0,unknown
89,45,admin.,married,secondary,no,1214,yes,no,cellular,28,jul,2,-1,0,unknown
90,47,housemaid,married,secondary,no,4397,yes,no,cellular,25,jul,1,-1,0,unknown
91,49,services,single,secondary,no,5028,yes,no,unknown,12,may,1,-1,0,unknown
92,33,admin.,divorced,secondary,no,335,yes,no,cellular,21,nov,1,184,2,failure
93,46,technician,single,secondary,no,834,yes,no,cellular,11,jul,2,-1,0,unknown
94,49,management,divorced,primary,no,49,no,no,unknown,9,jun,1,-1,0,unknown
95,40,management,married,secondary,no,2596,no,no,unknown,12,jun,1,-1,0,unknown
96,31,blue-collar,married,secondary,no,932,yes,no,unknown,21,may,2,-1,0,unknown
97,33,technician,single,tertiary,no,5234,no,no,unknown,2,jun,3,-1,0,unknown
98,45,admin.,divorced,secondary,no,875,yes,yes,unknown,23,may,2,-1,0,unknown
99,44,management,married,tertiary,no,236,yes,yes,telephone,18,jul,3,-1,0,unknown
100,31,admin.,single,secondary,no,12,yes,no,unknown,5,may,2,-1,0,unknown
101,59,technician,married,primary,no,4243,yes,no,unknown,29,may,1,-1,0,unknown
102,41,blue-collar,single,primary,no,-206,no,no,unknown,20,jun,1,-1,0,unknown
103,56,housemaid,married,secondary,no,559,no,no,cellular,29,jul,5,-1,0,unknown
104,36,management,married,tertiary,no,1434,no,no,cellular,18,nov,1,-1,0,unknown
105,45,blue-collar,married,secondary,no,130,yes,no,unknown,30,may,1,-1,0,unknown
106,30,management,single,tertiary,no,188,no,no,cellular,28,jan,1,-1,0,unknown
107,31,services,married,secondary,no,-331,yes,no,unknown,23,may,5,-1,0,unknown
108,41,management,divorced,secondary,no,71,yes,no,unknown,26,may,3,-1,0,unknown
109,36,management,married,secondary,no,2637,no,no,unknown,4,jul,1,-1,0,unknown
110,34,housemaid,married,tertiary,no,0,no,no,cellular,26,may,1,188,1,failure
111,37,blue-collar,married,secondary,no,151,yes,no,unknown,5,jun,1,-1,0,unknown
112,29,admin.,married,secondary,no,265,yes,no,unknown,23,may,2,-1,0,unknown
113,33,admin.,married,secondary,no,1604,no,no,cellular,13,aug,2,-1,0,unknown
114,50,management,single,tertiary,no,1098,yes,yes,cellular,5,aug,1,-1,0,unknown
115,59,entrepreneur,married,tertiary,no,1553,no,yes,cellular,18,nov,2,-1,0,unknown
116,57,blue-collar,married,primary,no,0,no,no,cellular,8,jul,3,-1,0,unknown
117,40,admin.,married,secondary,no,275,yes,no,cellular,9,jul,1,-1,0,unknown
118,47,admin.,married,secondary,no,328,no,no,cellular,13,aug,2,-1,0,unknown
119,30,technician,single,secondary,no,-232,no,yes,cellular,7,aug,2,-1,0,unknown
120,36,blue-collar,married,secondary,no,-147,yes,no,unknown,8,may,1,-1,0,unknown
121,37,blue-collar,single,secondary,no,3344,yes,no,unknown,26,may,5,-1,0,unknown
122,27,student,single,tertiary,no,1,no,no,cellular,25,jul,1,-1,0,unknown
123,58,entrepreneur,married,tertiary,no,0,no,yes,cellular,30,jan,1,2,2,other
124,37,technician,divorced,secondary,no,23,no,no,cellular,20,aug,2,-1,0,unknown
125,53,management,married,tertiary,no,32,no,yes,cellular,22,aug,2,-1,0,unknown
126,43,blue-collar,married,secondary,no,1149,no,no,telephone,29,jul,2,-1,0,unknown
127,46,blue-collar,single,secondary,no,57,yes,no,unknown,14,may,4,-1,0,unknown
128,35,admin.,married,secondary,no,0,yes,no,cellular,20,apr,5,-1,0,unknown
129,41,technician,married,tertiary,no,-378,yes,yes,unknown,19,jun,2,-1,0,unknown
130,26,admin.,single,secondary,no,8,no,no,cellular,23,jul,1,-1,0,unknown
131,31,blue-collar,married,secondary,no,1138,yes,yes,unknown,21,may,3,-1,0,unknown
132,32,technician,single,tertiary,no,1710,yes,no,cellular,15,may,1,175,3,other
133,33,management,single,tertiary,no,9135,yes,no,cellular,25,aug,4,-1,0,unknown
134,28,technician,single,secondary,no,3,no,no,telephone,18,may,8,349,6,failure
135,34,management,married,tertiary,no,176,no,no,cellular,18,aug,4,-1,0,unknown
136,45,entrepreneur,married,tertiary,no,1752,yes,yes,cellular,20,nov,2,-1,0,unknown
137,51,admin.,married,secondary,no,79,no,no,cellular,13,aug,2,-1,0,unknown
138,28,blue-collar,married,secondary,no,1020,yes,no,unknown,28,may,1,-1,0,unknown
139,53,services,married,primary,no,46,yes,no,unknown,7,may,1,-1,0,unknown
140,36,technician,single,tertiary,no,0,yes,no,cellular,14,may,2,303,3,other
141,31,services,single,secondary,no,125,no,no,cellular,2,feb,1,-1,0,unknown
142,41,blue-collar,married,primary,no,262,yes,no,unknown,29,may,1,-1,0,unknown
143,33,blue-collar,married,primary,no,1165,yes,no,unknown,21,may,2,-1,0,unknown
144,37,blue-collar,married,secondary,no,693,no,no,cellular,20,nov,2,-1,0,unknown
145,35,blue-collar,married,secondary,no,444,yes,no,cellular,15,apr,3,-1,0,unknown
146,46,retired,divorced,tertiary,no,-48,no,no,cellular,4,aug,4,-1,0,unknown
147,40,management,married,tertiary,no,270,no,no,unknown,16,jun,3,-1,0,unknown
148,31,blue-collar,single,secondary,no,33,yes,no,unknown,15,may,4,-1,0,unknown
149,34,technician,married,secondary,no,580,yes,no,cellular,15,may,1,-1,0,unknown
150,31,blue-collar,divorced,primary,no,158,yes,no,unknown,28,may,1,-1,0,unknown
151,27,self-employed,single,tertiary,no,1,yes,no,cellular,23,jul,4,-1,0,unknown
152,51,admin.,married,secondary,no,113,yes,no,cellular,17,nov,1,-1,0,unknown
153,50,unemployed,married,secondary,no,3478,yes,no,unknown,13,may,3,-1,0,unknown
154,33,services,married,secondary,no,56,yes,no,telephone,13,may,9,-1,0,unknown
155,53,management,married,tertiary,no,2124,yes,no,unknown,8,may,2,-1,0,unknown
156,34,blue-collar,married,secondary,no,67,yes,yes,unknown,8,may,3,-1,0,unknown
157,47,admin.,married,primary,no,192,yes,no,unknown,7,may,1,-1,0,unknown
158,41,housemaid,married,primary,no,2429,no,no,cellular,28,jan,1,-1,0,unknown
159,31,entrepreneur,single,tertiary,yes,37,yes,no,unknown,12,may,1,-1,0,unknown
160,39,blue-collar,married,primary,no,33,yes,no,cellular,4,feb,1,-1,0,unknown
161,53,services,divorced,secondary,no,4554,no,no,cellular,5,feb,6,-1,0,unknown
162,50,admin.,single,secondary,no,692,yes,no,unknown,30,may,8,-1,0,unknown
163,31,blue-collar,single,secondary,no,-806,yes,yes,cellular,24,jul,3,-1,0,unknown
164,31,self-employed,single,secondary,no,148,yes,yes,cellular,20,nov,4,-1,0,unknown
165,34,management,married,tertiary,no,3167,yes,yes,cellular,21,nov,1,-1,0,unknown
166,60,retired,divorced,primary,no,2516,no,no,telephone,4,feb,1,-1,0,unknown
167,39,management,divorced,tertiary,no,81,yes,yes,cellular,27,aug,4,-1,0,unknown
168,36,blue-collar,married,secondary,no,74,yes,no,cellular,8,may,2,-1,0,unknown
169,60,management,married,secondary,no,358,no,no,unknown,18,jun,2,-1,0,unknown
170,35,management,single,tertiary,no,361,yes,no,cellular,11,aug,2,-1,0,unknown
171,47,technician,single,secondary,no,736,no,no,cellular,29,jul,2,-1,0,unknown
172,46,technician,married,secondary,no,278,yes,no,cellular,10,jul,1,-1,0,unknown
173,29,management,married,tertiary,no,1713,yes,no,cellular,4,feb,2,-1,0,unknown
174,32,admin.,single,secondary,no,12,yes,no,cellular,5,may,1,365,2,failure
175,60,admin.,divorced,secondary,no,3020,yes,no,unknown,15,may,1,-1,0,unknown
176,47,retired,divorced,secondary,no,0,no,no,unknown,19,jun,1,-1,0,unknown
177,36,management,married,tertiary,no,446,yes,no,telephone,16,jul,5,-1,0,unknown
178,47,technician,married,secondary,no,17206,yes,no,cellular,19,aug,4,-1,0,unknown
179,36,blue-collar,married,secondary,no,6699,yes,no,cellular,20,apr,3,-1,0,unknown
180,34,technician,divorced,unknown,no,975,yes,no,cellular,30,jan,2,191,1,other
181,45,management,married,tertiary,no,1447,yes,yes,cellular,7,jul,2,-1,0,unknown
182,25,blue-collar,single,secondary,no,381,yes,no,cellular,15,may,1,-1,0,unknown
183,23,technician,single,tertiary,no,1502,no,no,cellular,12,aug,1,-1,0,unknown
184,35,self-employed,single,tertiary,no,935,yes,no,cellular,20,nov,1,176,2,failure
185,43,management,married,tertiary,no,938,yes,no,cellular,9,feb,2,-1,0,unknown
186,45,blue-collar,married,secondary,no,392,yes,no,cellular,21,nov,2,127,2,failure
187,59,unknown,married,unknown,no,1541,no,no,cellular,5,aug,1,-1,0,unknown
188,47,technician,divorced,secondary,no,-105,no,no,telephone,28,aug,2,-1,0,unknown
189,54,blue-collar,married,secondary,no,-135,yes,no,cellular,14,may,3,370,2,failure
190,54,technician,married,secondary,no,3323,yes,yes,cellular,8,apr,3,-1,0,unknown
191,39,technician,divorced,secondary,no,8,no,no,cellular,29,aug,2,-1,0,unknown
192,57,management,married,tertiary,no,1341,yes,no,unknown,8,may,2,-1,0,unknown
193,55,housemaid,married,primary,no,0,no,no,cellular,13,aug,2,-1,0,unknown
194,35,technician,married,tertiary,no,118,no,no,cellular,6,aug,2,-1,0,unknown
195,59,technician,married,secondary,no,519,yes,no,unknown,28,may,8,-1,0,unknown
196,49,blue-collar,divorced,secondary,no,848,yes,no,unknown,19,jun,1,-1,0,unknown
197,35,unemployed,single,secondary,no,221,no,no,cellular,29,jan,1,-1,0,unknown
198,50,blue-collar,married,primary,no,12519,yes,no,unknown,18,oct,1,-1,0,unknown
199,36,technician,single,tertiary,no,40,no,no,cellular,26,aug,3,-1,0,unknown
200,31,admin.,single,secondary,no,-302,yes,yes,unknown,27,may,5,-1,0,unknown
201,48,blue-collar,married,secondary,no,742,yes,yes,cellular,14,jul,4,-1,0,unknown
202,32,blue-collar,married,secondary,no,523,yes,no,unknown,23,may,5,-1,0,unknown
203,31,management,single,tertiary,no,-307,yes,yes,unknown,26,may,2,-1,0,unknown
204,34,admin.,single,secondary,no,296,no,no,cellular,7,jul,4,-1,0,unknown
205,54,management,married,tertiary,no,6525,yes,no,cellular,19,nov,1,170,3,failure
206,51,blue-collar,married,primary,no,1194,yes,no,cellular,18,nov,1,186,3,failure
207,49,management,married,tertiary,no,322,no,no,cellular,6,aug,4,-1,0,unknown
208,50,blue-collar,married,secondary,no,278,no,no,unknown,20,jun,3,-1,0,unknown
209,35,admin.,divorced,secondary,no,404,yes,no,cellular,6,may,1,-1,0,unknown
210,32,management,single,tertiary,no,151,yes,no,unknown,6,may,1,-1,0,unknown
211,29,management,single,tertiary,no,1566,yes,no,unknown,4,jun,1,-1,0,unknown
212,33,technician,married,secondary,no,7621,no,no,cellular,21,aug,1,-1,0,unknown
213,31,services,married,secondary,no,0,yes,no,cellular,29,jan,2,-1,0,unknown
214,44,management,married,secondary,no,38,yes,no,unknown,15,may,2,-1,0,unknown
215,26,services,single,secondary,no,49,no,no,cellular,30,jan,1,-1,0,unknown
216,48,management,divorced,tertiary,no,313,no,no,cellular,8,may,1,-1,0,unknown
217,40,blue-collar,married,primary,no,143,no,yes,cellular,8,jul,2,-1,0,unknown
218,56,retired,married,primary,no,133,no,yes,unknown,12,jun,2,-1,0,unknown
219,43,admin.,single,secondary,no,140,yes,no,unknown,7,may,1,-1,0,unknown
220,37,blue-collar,married,secondary,no,680,yes,yes,cellular,16,jul,3,-1,0,unknown
221,39,housemaid,married,secondary,no,4136,yes,no,cellular,19,nov,2,170,3,failure
222,36,blue-collar,married,secondary,no,688,yes,no,unknown,6,may,2,-1,0,unknown
223,53,blue-collar,married,secondary,no,5700,yes,no,unknown,14,may,1,-1,0,unknown
224,56,blue-collar,married,secondary,no,2583,no,no,cellular,21,nov,1,-1,0,unknown
225,29,technician,married,secondary,no,782,yes,no,unknown,16,may,1,-1,0,unknown
226,47,management,divorced,tertiary,no,0,no,yes,cellular,20,nov,6,-1,0,unknown
227,48,admin.,married,secondary,no,-582,yes,no,cellular,5,may,2,-1,0,unknown
228,36,services,single,secondary,no,-295,yes,yes,unknown,27,may,3,-1,0,unknown
229,30,services,married,secondary,no,384,yes,no,unknown,16,jun,3,-1,0,unknown
230,46,services,married,secondary,no,1516,no,no,cellular,14,aug,4,-1,0,unknown
231,26,blue-collar,single,secondary,no,786,yes,yes,unknown,14,may,5,-1,0,unknown
232,27,management,single,tertiary,no,7944,yes,no,cellular,15,may,3,346,1,other
233,40,unemployed,married,secondary,no,3382,yes,no,unknown,14,may,1,-1,0,unknown
234,41,self-employed,single,unknown,no,426,yes,no,unknown,19,jun,1,-1,0,unknown
235,28,unemployed,married,secondary,no,863,yes,yes,unknown,27,may,1,-1,0,unknown
236,42,management,married,tertiary,no,2772,yes,no,cellular,2,apr,1,-1,0,unknown
237,55,services,married,secondary,no,76,no,no,cellular,5,aug,1,-1,0,unknown
238,44,technician,divorced,unknown,no,1823,no,no,unknown,20,jun,2,-1,0,unknown
239,34,blue-collar,single,secondary,yes,-369,yes,no,unknown,23,may,2,-1,0,unknown
240,32,technician,divorced,secondary,no,273,yes,no,unknown,4,jun,1,-1,0,unknown
241,29,admin.,married,secondary,no,792,yes,no,cellular,14,may,2,-1,0,unknown
242,58,entrepreneur,married,primary,no,1657,no,no,unknown,6,jun,2,-1,0,unknown
243,56,retired,married,secondary,no,1678,yes,no,unknown,15,may,1,-1,0,unknown
244,38,admin.,married,tertiary,no,1209,no,no,cellular,31,jul,5,-1,0,unknown
245,28,blue-collar,married,primary,no,206,yes,no,cellular,14,may,2,-1,0,unknown
246,31,admin.,single,secondary,no,757,no,no,cellular,3,feb,2,-1,0,unknown
247,41,technician,married,secondary,no,442,yes,yes,cellular,17,apr,3,322,1,other
248,39,admin.,divorced,secondary,no,1089,yes,no,cellular,14,may,1,-1,0,unknown
249,44,services,married,secondary,no,-618,no,yes,unknown,27,jun,2,-1,0,unknown
250,42,management,divorced,tertiary,no,580,yes,no,cellular,31,jul,2,-1,0,unknown
251,34,self-employed,single,tertiary,no,892,yes,no,telephone,29,jan,3,-1,0,unknown
252,36,management,single,tertiary,no,112,yes,no,cellular,15,jul,2,-1,0,unknown
253,29,management,married,tertiary,no,103,yes,no,cellular,17,apr,1,336,2,failure
254,31,management,single,tertiary,no,358,yes,no,cellular,30,jan,3,256,51,failure
255,56,management,married,tertiary,no,171,no,yes,telephone,17,jul,2,-1,0,unknown
256,58,services,married,secondary,no,50,yes,no,cellular,20,nov,7,-1,0,unknown
257,26,blue-collar,single,secondary,no,381,yes,no,unknown,26,may,2,-1,0,unknown
258,42,services,married,secondary,no,0,no,no,unknown,18,jun,6,-1,0,unknown
259,27,services,single,secondary,no,87,no,no,cellular,8,jul,1,-1,0,unknown
260,33,self-employed,single,tertiary,no,2155,no,no,cellular,17,nov,1,-1,0,unknown
261,40,technician,married,secondary,no,372,yes,no,cellular,21,nov,1,100,2,failure
262,43,technician,married,secondary,no,994,yes,yes,cellular,5,may,1,-1,0,unknown
263,48,management,married,tertiary,no,5887,no,no,cellular,13,aug,2,-1,0,unknown
264,30,admin.,married,secondary,no,373,yes,no,cellular,30,jan,2,228,4,other
265,36,blue-collar,married,primary,no,4138,no,no,unknown,12,jun,1,-1,0,unknown
266,40,blue-collar,single,primary,no,147,yes,no,cellular,13,may,1,-1,0,unknown
267,41,technician,married,secondary,no,2185,yes,no,cellular,7,apr,4,309,4,other
268,37,technician,married,secondary,no,344,yes,yes,cellular,17,nov,1,-1,0,unknown
269,65,retired,married,primary,no,493,no,no,cellular,16,oct,1,182,1,failure
270,37,unknown,single,unknown,no,414,yes,no,unknown,7,may,1,-1,0,unknown
271,40,admin.,married,secondary,no,1395,yes,yes,cellular,7,jul,2,-1,0,unknown
272,49,blue-collar,married,primary,no,0,no,no,unknown,14,may,2,-1,0,unknown
273,28,blue-collar,married,tertiary,no,417,yes,yes,cellular,6,may,2,363,2,failure
274,30,management,single,tertiary,no,317,no,no,cellular,12,aug,8,-1,0,unknown
275,28,management,married,tertiary,no,22,yes,no,cellular,31,jul,3,-1,0,unknown
276,33,admin.,single,secondary,no,1221,yes,no,unknown,23,may,1,-1,0,unknown
277,38,technician,married,secondary,no,4030,yes,no,cellular,19,nov,2,177,5,failure
278,48,blue-collar,married,primary,no,556,yes,no,telephone,12,may,1,-1,0,unknown
279,36,blue-collar,married,secondary,no,63,yes,no,unknown,2,jun,8,-1,0,unknown
280,32,services,married,secondary,no,2196,yes,no,cellular,21,jul,1,-1,0,unknown
281,39,management,married,tertiary,no,0,no,no,cellular,28,aug,25,-1,0,unknown
282,36,management,single,tertiary,no,678,no,yes,unknown,4,jul,3,-1,0,unknown
283,37,management,single,tertiary,no,254,no,no,cellular,19,oct,1,-1,0,unknown
284,36,admin.,married,secondary,no,2278,yes,no,cellular,15,may,3,298,1,failure
285,29,technician,single,secondary,no,-247,no,yes,cellular,22,jul,1,-1,0,unknown
286,32,management,married,tertiary,no,71,no,no,cellular,2,feb,1,-1,0,unknown
287,50,admin.,divorced,secondary,no,124,yes,yes,cellular,14,may,2,289,19,failure
288,34,blue-collar,married,primary,no,425,yes,no,cellular,16,jul,7,-1,0,unknown
289,30,blue-collar,married,primary,no,184,yes,no,unknown,23,may,1,-1,0,unknown
290,41,management,married,tertiary,no,653,yes,no,telephone,17,nov,2,-1,0,unknown
291,41,blue-collar,married,secondary,no,2067,yes,no,cellular,11,may,4,325,4,failure
292,46,entrepreneur,divorced,tertiary,no,91,no,yes,cellular,23,jul,1,-1,0,unknown
293,46,technician,married,secondary,no,0,yes,no,unknown,4,jun,5,-1,0,unknown
294,53,unemployed,married,unknown,no,13,no,no,unknown,5,may,3,-1,0,unknown
295,45,unemployed,married,secondary,no,383,no,no,cellular,23,apr,1,-1,0,unknown
296,54,housemaid,married,secondary,no,42,yes,no,unknown,13,may,5,-1,0,unknown
297,50,entrepreneur,married,secondary,no,7907,yes,yes,cellular,22,aug,2,-1,0,unknown
298,46,services,married,secondary,no,25,no,yes,unknown,25,jun,2,-1,0,unknown
299,39,services,divorced,secondary,no,892,yes,no,unknown,2,jun,1,-1,0,unknown
300,33,housemaid,married,primary,no,212,yes,no,cellular,11,jul,2,-1,0,unknown
301,35,services,married,secondary,no,-315,yes,no,cellular,11,may,2,368,2,failure
302,40,admin.,married,secondary,no,-54,yes,no,cellular,8,may,1,-1,0,unknown
303,31,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,1,-1,0,unknown
304,40,blue-collar,divorced,primary,no,369,no,no,unknown,6,may,2,-1,0,unknown
305,26,technician,divorced,tertiary,no,278,yes,yes,cellular,7,jul,1,-1,0,unknown
306,50,services,married,secondary,no,-682,yes,no,cellular,11,jul,2,-1,0,unknown
307,31,blue-collar,married,primary,no,605,yes,no,unknown,15,may,10,-1,0,unknown
308,45,blue-collar,married,secondary,no,22928,no,no,unknown,6,jun,1,-1,0,unknown
309,50,admin.,married,secondary,no,1906,no,no,unknown,16,may,17,-1,0,unknown
310,37,blue-collar,married,secondary,no,723,yes,no,cellular,18,nov,1,110,2,failure
311,47,blue-collar,married,secondary,no,290,yes,no,unknown,20,may,2,-1,0,unknown
312,48,entrepreneur,divorced,tertiary,no,275,no,yes,unknown,5,jun,1,-1,0,unknown
313,32,technician,single,secondary,no,-138,no,no,cellular,16,jul,2,-1,0,unknown
314,30,management,married,tertiary,no,2960,no,no,cellular,11,aug,4,-1,0,unknown
315,32,management,divorced,tertiary,no,530,yes,no,cellular,2,jun,1,60,1,failure
316,56,retired,married,tertiary,no,24,no,yes,cellular,9,jul,1,-1,0,unknown
317,47,technician,divorced,secondary,no,47,no,yes,unknown,1,jul,2,-1,0,unknown
318,42,services,married,secondary,no,0,yes,no,cellular,13,may,4,-1,0,unknown
319,38,technician,single,secondary,no,1255,yes,no,cellular,17,nov,2,171,2,failure
320,60,blue-collar,married,primary,no,2147,no,no,telephone,14,may,1,-1,0,unknown
321,31,blue-collar,married,secondary,no,2577,yes,no,unknown,13,may,2,-1,0,unknown
322,42,technician,single,secondary,no,1977,no,no,cellular,17,jul,6,-1,0,unknown
323,24,admin.,single,secondary,no,-386,yes,no,cellular,5,may,1,-1,0,unknown
