,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,term_deposit
53,37,services,married,secondary,no,981,no,no,cellular,7,jul,2,386,1,success,yes
54,63,retired,married,secondary,no,3579,no,no,telephone,11,nov,2,-1,0,unknown,no
55,35,admin.,single,secondary,no,0,yes,no,cellular,13,may,1,-1,0,unknown,yes
56,34,blue-collar,divorced,primary,no,390,yes,no,cellular,15,may,2,371,2,success,no
57,30,services,single,tertiary,no,719,no,yes,cellular,14,aug,2,-1,0,unknown,no
58,31,self-employed,single,tertiary,no,2589,no,no,cellular,21,nov,1,-1,0,unknown,yes
59,35,entrepreneur,married,secondary,no,2971,no,no,cellular,4,may,4,164,2,failure,yes
60,47,management,married,unknown,no,4567,no,no,telephone,31,jul,4,-1,0,unknown,no
61,32,technician,single,tertiary,no,1855,no,no,cellular,15,sep,2,134,1,other,yes
62,36,admin.,married,secondary,no,286,yes,no,cellular,22,jul,9,-1,0,unknown,no
63,71,retired,married,tertiary,no,4388,no,no,cellular,8,jul,2,-1,0,unknown,yes
64,38,blue-collar,single,secondary,no,577,yes,no,unknown,2,jun,2,-1,0,unknown,no
65,51,blue-collar,married,secondary,no,33,no,yes,unknown,16,jun,3,-1,0,unknown,yes
66,47,management,single,tertiary,no,585,yes,no,cellular,2,feb,1,-1,0,unknown,no
67,26,blue-collar,married,primary,no,399,yes,no,cellular,22,jul,2,-1,0,unknown,no
68,62,management,married,secondary,no,4562,yes,no,cellular,3,mar,1,-1,0,unknown,yes
69,54,admin.,divorced,primary,no,0,no,no,unknown,6,jun,1,-1,0,unknown,no
70,36,blue-collar,divorced,secondary,no,638,yes,no,unknown,16,jun,2,-1,0,unknown,yes
71,40,management,married,secondary,no,4396,no,no,cellular,12,aug,3,-1,0,unknown,yes
72,53,technician,married,secondary,no,-725,yes,no,unknown,27,may,1,-1,0,unknown,yes
73,41,entrepreneur,divorced,secondary,no,1588,yes,yes,unknown,20,jun,8,-1,0,unknown,no
74,55,blue-collar,divorced,primary,no,39,yes,no,unknown,13,may,1,-1,0,unknown,no
75,35,management,single,tertiary,no,671,yes,no,cellular,10,mar,1,-1,0,unknown,yes
76,48,blue-collar,married,primary,no,8,no,no,cellular,20,aug,2,-1,0,unknown,no
77,34,admin.,single,tertiary,no,18,yes,yes,cellular,30,apr,1,-1,0,unknown,yes
78,36,admin.,married,secondary,no,96,no,no,cellular,2,feb,1,-1,0,unknown,yes
79,28,student,single,secondary,no,4716,yes,no,unknown,26,may,2,-1,0,unknown,no
80,38,blue-collar,married,primary,no,476,yes,no,unknown,28,may,4,-1,0,unknown,no
81,50,admin.,single,secondary,no,-79,no,yes,cellular,7,jul,1,-1,0,unknown,no
82,38,blue-collar,single,primary,no,-100,yes,no,unknown,21,may,2,-1,0,unknown,no
83,36,management,single,tertiary,no,6450,yes,no,unknown,29,may,1,-1,0,unknown,no
84,30,admin.,single,secondary,no,270,no,no,cellular,9,feb,1,-1,0,unknown,yes
85,33,technician,single,tertiary,no,0,yes,no,cellular,21,nov,1,-1,0,unknown,yes
86,40,blue-collar,divorced,primary,yes,0,yes,no,telephone,21,nov,3,-1,0,unknown,no
87,34,blue-collar,single,secondary,no,215,no,no,cellular,3,mar,3,-1,0,unknown,yes
88,34,blue-collar,married,primary,no,3527,yes,no,cellular,21,nov,1,-1,0,unknown,yes
89,56,blue-collar,divorced,primary,no,-9,yes,yes,cellular,8,may,1,-1,0,unknown,yes
90,31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,2,-1,0,unknown,yes
91,74,retired,married,secondary,no,921,no,no,telephone,17,apr,2,-1,0,unknown,yes
92,44,blue-collar,single,secondary,no,0,yes,no,cellular,4,may,2,19,1,failure,no
93,39,blue-collar,single,secondary,no,649,yes,no,cellular,15,apr,1,-1,0,unknown,yes
94,29,admin.,single,secondary,no,382,yes,no,unknown,12,may,1,-1,0,unknown,no
95,30,management,single,tertiary,no,364,no,no,cellular,30,apr,2,-1,0,unknown,yes
96,58,blue-collar,divorced,primary,no,8218,yes,no,cellular,31,jul,10,-1,0,unknown,no
97,59,retired,married,primary,no,3648,no,no,telephone,19,jun,3,-1,0,unknown,yes
98,30,technician,married,tertiary,no,541,yes,no,unknown,26,may,2,-1,0,unknown,yes
99,66,retired,married,tertiary,no,3,no,no,cellular,6,aug,1,-1,0,unknown,yes
100,38,blue-collar,married,primary,no,406,yes,no,cellular,29,jan,1,188,5,failure,no
101,31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,2,-1,0,unknown,yes
102,53,blue-collar,divorced,primary,no,4401,no,no,telephone,11,nov,1,92,1,success,yes
103,28,management,divorced,tertiary,no,229,yes,no,cellular,9,apr,2,315,2,other,yes
104,35,entrepreneur,married,secondary,no,0,yes,no,cellular,18,nov,1,-1,0,unknown,no
105,33,student,single,unknown,no,242,no,no,telephone,3,jul,2,-1,0,unknown,no
106,54,admin.,divorced,secondary,no,1693,no,no,cellular,30,apr,1,87,2,other,yes
107,30,management,single,tertiary,no,5561,yes,no,cellular,19,nov,1,-1,0,unknown,yes
108,29,management,married,tertiary,no,8,yes,no,cellular,14,may,2,-1,0,unknown,no
109,49,technician,married,secondary,no,412,no,no,cellular,19,aug,8,-1,0,unknown,yes
110,29,technician,single,secondary,no,938,no,no,cellular,3,nov,1,-1,0,unknown,yes
111,39,management,single,tertiary,no,595,yes,no,unknown,13,may,1,-1,0,unknown,no
112,29,unemployed,single,primary,no,1374,no,no,cellular,17,nov,3,208,4,success,yes
113,44,admin.,divorced,secondary,no,432,no,no,cellular,9,feb,3,-1,0,unknown,no
114,32,blue-collar,single,primary,no,18,yes,yes,cellular,6,may,1,-1,0,unknown,no
115,26,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,2,-1,0,unknown,yes
116,54,management,married,tertiary,no,1464,no,no,cellular,30,jun,1,-1,0,unknown,yes
117,37,management,married,tertiary,no,7785,yes,no,cellular,17,apr,2,-1,0,unknown,no
118,47,housemaid,married,secondary,no,2524,no,no,cellular,12,oct,1,-1,0,unknown,yes
119,32,technician,married,secondary,no,94,yes,no,cellular,17,apr,2,-1,0,unknown,no
120,57,unemployed,married,secondary,no,3754,no,no,cellular,5,feb,2,-1,0,unknown,yes
121,54,management,divorced,tertiary,no,12018,yes,no,cellular,21,dec,2,-1,0,unknown,yes
122,58,technician,single,tertiary,no,388,no,no,cellular,19,nov,1,-1,0,unknown,no
123,36,management,married,tertiary,no,1357,yes,no,unknown,5,jun,5,-1,0,unknown,no
124,32,services,married,secondary,no,983,yes,no,cellular,10,jul,1,-1,0,unknown,no
125,24,blue-collar,married,secondary,no,-389,yes,yes,unknown,4,jun,1,-1,0,unknown,yes
126,57,retired,married,secondary,no,1841,no,no,telephone,5,jun,1,-1,0,unknown,yes
127,31,management,single,tertiary,no,18,no,no,cellular,22,aug,3,-1,0,unknown,no
128,51,management,married,tertiary,no,-265,yes,no,unknown,20,jun,4,-1,0,unknown,no
129,45,blue-collar,married,secondary,no,196,yes,no,cellular,2,feb,1,-1,0,unknown,no
130,30,management,single,tertiary,no,5389,no,no,cellular,6,aug,3,-1,0,unknown,yes
131,37,admin.,single,secondary,no,1097,yes,no,cellular,21,nov,2,-1,0,unknown,yes
132,33,management,married,tertiary,no,1808,yes,no,unknown,4,jun,4,-1,0,unknown,no
133,41,blue-collar,single,secondary,no,948,yes,no,unknown,3,jun,1,-1,0,unknown,no
134,54,admin.,married,secondary,no,865,yes,no,cellular,17,nov,1,-1,0,unknown,no
135,44,self-employed,divorced,tertiary,no,1070,yes,no,cellular,30,apr,1,160,2,other,yes
136,49,admin.,married,tertiary,no,6574,no,no,cellular,8,jun,3,-1,0,unknown,yes
137,37,technician,married,unknown,no,189,no,no,cellular,1,oct,1,107,2,success,yes
138,23,services,single,secondary,no,665,yes,no,unknown,28,may,1,-1,0,unknown,yes
139,41,blue-collar,married,secondary,no,5517,yes,no,cellular,10,jul,1,-1,0,unknown,yes
140,73,management,married,tertiary,no,1609,no,no,cellular,14,jul,2,-1,0,unknown,yes
141,53,admin.,married,secondary,no,849,yes,no,cellular,6,feb,3,-1,0,unknown,yes
142,40,management,married,tertiary,no,0,yes,yes,cellular,24,jul,1,-1,0,unknown,no
143,40,services,married,secondary,no,293,no,no,telephone,4,feb,2,-1,0,unknown,no
144,59,management,divorced,tertiary,no,3390,no,no,cellular,29,jul,2,-1,0,unknown,no
145,61,management,married,tertiary,no,997,no,no,cellular,22,jun,1,104,1,success,yes
146,28,management,single,tertiary,no,3611,no,no,cellular,26,feb,2,-1,0,unknown,yes
147,33,management,married,tertiary,no,1323,no,no,cellular,1,jun,1,-1,0,unknown,yes
148,45,technician,divorced,secondary,no,1309,yes,no,cellular,19,nov,1,170,2,failure,no
149,59,retired,married,tertiary,no,538,no,no,cellular,18,nov,2,-1,0,unknown,no
150,39,unemployed,married,secondary,no,0,yes,no,unknown,3,jun,1,-1,0,unknown,no
151,36,management,divorced,tertiary,no,81,no,yes,cellular,22,jul,1,-1,0,unknown,yes
152,60,entrepreneur,married,primary,no,83,yes,no,cellular,17,jul,2,-1,0,unknown,no
153,28,technician,single,tertiary,no,370,yes,no,unknown,23,may,5,-1,0,unknown,no
154,33,blue-collar,married,primary,no,1903,yes,no,cellular,21,nov,2,182,3,failure,no
155,37,admin.,single,primary,no,912,yes,no,cellular,12,may,3,328,22,other,yes
156,31,entrepreneur,single,tertiary,yes,-405,yes,yes,cellular,13,aug,2,-1,0,unknown,yes
157,36,technician,single,secondary,no,480,yes,no,cellular,28,jan,1,-1,0,unknown,no
158,47,management,married,tertiary,no,2351,no,no,cellular,10,mar,1,-1,0,unknown,yes
159,32,management,single,tertiary,no,26,no,no,cellular,10,jul,6,-1,0,unknown,no
160,43,management,married,primary,no,1880,yes,no,cellular,17,jul,6,-1,0,unknown,no
161,33,management,married,tertiary,no,2599,no,no,cellular,30,apr,2,-1,0,unknown,yes
162,39,blue-collar,single,tertiary,no,48,no,no,cellular,3,jun,1,-1,0,unknown,yes
163,28,admin.,single,secondary,no,136,no,no,cellular,16,jun,1,-1,0,unknown,yes
164,36,blue-collar,married,secondary,no,249,yes,no,cellular,15,may,5,-1,0,unknown,yes
165,32,technician,single,tertiary,no,550,no,no,cellular,19,nov,1,-1,0,unknown,yes
166,33,services,married,secondary,no,0,yes,no,unknown,26,may,6,-1,0,unknown,no
167,33,management,married,tertiary,no,191,no,no,cellular,13,aug,2,-1,0,unknown,yes
168,34,management,married,tertiary,no,0,no,no,cellular,6,feb,3,9,1,other,yes
169,26,self-employed,single,tertiary,no,168,no,no,cellular,30,apr,1,-1,0,unknown,yes
170,48,blue-collar,married,secondary,no,0,no,no,cellular,6,aug,5,-1,0,unknown,no
171,46,blue-collar,married,primary,no,501,yes,no,unknown,14,may,2,-1,0,unknown,no
172,45,blue-collar,married,secondary,no,2246,yes,yes,cellular,21,nov,2,99,2,other,no
173,33,technician,single,secondary,no,66,no,no,cellular,5,jun,2,-1,0,unknown,yes
174,56,unemployed,married,secondary,no,0,no,no,telephone,2,feb,1,-1,0,unknown,yes
175,59,technician,divorced,secondary,no,-296,no,yes,cellular,29,jan,1,-1,0,unknown,no
176,37,blue-collar,married,primary,no,253,yes,no,cellular,19,nov,2,153,2,failure,no
177,46,technician,married,tertiary,no,0,no,no,unknown,6,jun,1,-1,0,unknown,no
178,31,admin.,single,secondary,no,162,yes,no,unknown,28,may,1,-1,0,unknown,no
179,25,unemployed,single,secondary,no,-230,yes,no,cellular,21,jul,1,-1,0,unknown,no
180,42,management,married,tertiary,no,4,yes,no,cellular,17,jul,1,-1,0,unknown,yes
181,32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,2,-1,0,unknown,yes
182,58,technician,married,primary,no,4198,no,no,cellular,11,feb,5,-1,0,unknown,no
183,37,blue-collar,married,secondary,no,1330,no,no,cellular,30,apr,1,-1,0,unknown,yes
184,45,management,married,tertiary,no,2953,yes,yes,cellular,5,feb,1,-1,0,unknown,no
185,52,admin.,married,secondary,no,1228,yes,yes,cellular,4,aug,1,-1,0,unknown,yes
186,35,management,single,tertiary,no,1599,yes,yes,cellular,13,apr,1,-1,0,unknown,yes
187,49,unknown,married,primary,no,341,yes,yes,unknown,15,may,2,-1,0,unknown,yes
188,32,admin.,single,secondary,no,116,no,yes,cellular,16,jul,2,-1,0,unknown,no
189,60,management,married,primary,no,0,yes,no,cellular,15,jul,8,-1,0,unknown,no
190,38,unemployed,single,secondary,no,804,no,no,cellular,1,jun,1,-1,0,unknown,yes
191,31,management,single,secondary,no,1088,yes,no,cellular,8,apr,2,-1,0,unknown,yes
192,56,retired,married,tertiary,no,281,no,no,cellular,3,mar,2,-1,0,unknown,yes
193,33,technician,married,secondary,no,221,yes,no,cellular,13,may,1,355,4,failure,yes
194,33,technician,divorced,secondary,no,751,yes,no,cellular,18,nov,1,-1,0,unknown,no
195,50,management,married,secondary,no,13931,yes,no,cellular,18,nov,1,-1,0,unknown,no
196,45,technician,single,tertiary,no,2087,no,no,cellular,29,aug,14,-1,0,unknown,no
197,59,retired,married,secondary,no,1035,yes,yes,cellular,5,aug,1,-1,0,unknown,no
198,39,services,divorced,secondary,no,1957,yes,yes,cellular,16,apr,1,147,1,failure,no
199,35,management,married,tertiary,no,451,yes,no,cellular,17,apr,6,-1,0,unknown,no
200,45,services,married,primary,no,7811,no,no,unknown,16,jun,2,-1,0,unknown,no
201,33,technician,single,tertiary,no,8097,no,yes,cellular,21,aug,2,-1,0,unknown,no
202,36,technician,divorced,secondary,no,1,no,no,cellular,8,aug,3,-1,0,unknown,yes
203,32,technician,married,secondary,no,2,yes,yes,cellular,8,jul,1,-1,0,unknown,no
204,44,technician,married,secondary,no,267,no,no,cellular,22,aug,2,-1,0,unknown,yes
205,31,technician,single,secondary,no,1186,yes,no,unknown,23,may,1,-1,0,unknown,no
206,60,unknown,married,unknown,no,17297,no,no,cellular,26,aug,11,-1,0,unknown,yes
207,35,management,divorced,tertiary,no,1723,yes,no,cellular,25,jul,1,-1,0,unknown,yes
208,72,self-employed,married,tertiary,no,132,no,no,cellular,27,apr,1,-1,0,unknown,yes
209,40,blue-collar,married,primary,no,57,yes,no,cellular,31,jul,9,-1,0,unknown,yes
210,32,entrepreneur,divorced,primary,no,1,yes,yes,cellular,20,nov,3,-1,0,unknown,no
211,32,unknown,single,secondary,no,-274,no,yes,unknown,27,may,3,-1,0,unknown,no
212,46,admin.,divorced,secondary,no,-454,yes,no,unknown,26,may,1,-1,0,unknown,no
213,58,self-employed,married,tertiary,no,2596,no,no,telephone,18,nov,2,-1,0,unknown,no
214,29,technician,married,secondary,no,-910,yes,no,cellular,21,jul,1,-1,0,unknown,no
215,58,technician,married,secondary,no,629,yes,no,cellular,3,feb,3,265,2,failure,no
216,32,blue-collar,married,secondary,no,7365,yes,no,cellular,31,jul,5,-1,0,unknown,no
217,41,unemployed,married,primary,yes,-581,yes,no,unknown,8,may,2,-1,0,unknown,no
218,83,retired,married,primary,no,425,no,no,telephone,22,sep,1,92,2,success,yes
219,27,admin.,single,secondary,no,105,yes,no,cellular,18,may,1,-1,0,unknown,no
220,37,technician,married,secondary,no,-796,yes,yes,unknown,26,may,1,-1,0,unknown,no
221,57,retired,married,primary,no,808,no,no,telephone,7,jul,1,-1,0,unknown,no
222,56,entrepreneur,married,secondary,no,1272,no,no,cellular,6,feb,2,-1,0,unknown,no
223,26,management,single,tertiary,no,200,no,no,cellular,1,sep,2,-1,0,unknown,no
224,38,management,single,tertiary,no,104,yes,no,cellular,6,may,3,-1,0,unknown,yes
225,46,technician,married,secondary,no,2098,no,no,cellular,7,aug,2,-1,0,unknown,no
226,36,management,married,tertiary,no,1582,no,no,telephone,3,feb,2,197,1,failure,no
227,49,unemployed,married,primary,no,518,no,no,cellular,29,jan,2,-1,0,unknown,yes
228,27,admin.,single,secondary,no,-181,yes,yes,unknown,29,may,4,-1,0,unknown,no
229,52,admin.,married,secondary,no,1933,yes,no,unknown,21,may,4,-1,0,unknown,no
230,35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,10,-1,0,unknown,yes
231,26,management,single,tertiary,no,-3,no,no,cellular,13,apr,2,-1,0,unknown,yes
232,39,technician,single,secondary,no,391,no,yes,cellular,30,jul,4,-1,0,unknown,yes
233,43,blue-collar,married,primary,no,1401,yes,no,unknown,12,may,2,-1,0,unknown,no
234,26,admin.,married,secondary,no,1595,no,no,cellular,15,jun,1,105,1,failure,yes
235,29,services,single,secondary,no,271,yes,no,unknown,20,may,2,-1,0,unknown,yes
236,36,technician,married,secondary,no,186,yes,no,cellular,12,may,3,-1,0,unknown,no
237,30,technician,married,tertiary,no,101,yes,yes,cellular,7,jul,3,-1,0,unknown,no
238,30,management,single,tertiary,no,533,no,no,cellular,4,may,4,-1,0,unknown,yes
239,38,services,married,secondary,no,1970,yes,no,cellular,30,apr,1,176,1,success,yes
240,75,retired,married,primary,no,2970,no,no,cellular,12,aug,1,-1,0,unknown,yes
241,41,blue-collar,married,primary,no,2562,yes,no,cellular,20,nov,1,189,4,failure,no
242,55,housemaid,married,tertiary,no,4235,no,no,cellular,7,aug,4,-1,0,unknown,no
243,29,admin.,single,tertiary,no,41,yes,no,cellular,13,aug,2,-1,0,unknown,yes
244,35,management,single,tertiary,no,2646,no,no,cellular,13,oct,1,182,1,success,yes
245,35,blue-collar,divorced,primary,no,1792,yes,no,cellular,31,jul,6,-1,0,unknown,yes
246,40,technician,single,secondary,no,277,yes,no,unknown,14,may,2,-1,0,unknown,no
247,27,management,married,tertiary,no,342,yes,no,cellular,17,jul,1,-1,0,unknown,no
248,47,blue-collar,married,unknown,no,3460,yes,no,unknown,5,jun,2,-1,0,unknown,no
249,35,technician,married,tertiary,no,1629,no,no,cellular,25,jul,4,-1,0,unknown,yes
250,25,self-employed,single,tertiary,no,453,yes,no,cellular,17,jul,1,-1,0,unknown,no
251,37,services,married,secondary,no,1543,yes,no,cellular,16,feb,2,-1,0,unknown,yes
252,41,entrepreneur,married,secondary,no,30,no,no,cellular,30,apr,1,-1,0,unknown,yes
253,45,admin.,divorced,secondary,no,397,yes,yes,cellular,22,may,1,95,2,success,yes
254,26,blue-collar,single,tertiary,no,567,no,no,cellular,25,may,1,-1,0,unknown,yes
255,44,services,married,secondary,no,522,no,yes,unknown,20,jun,1,-1,0,unknown,yes
256,43,technician,married,secondary,no,0,no,yes,cellular,8,may,2,172,5,failure,no
257,49,blue-collar,married,secondary,no,3728,yes,no,cellular,11,jul,2,-1,0,unknown,yes
258,31,technician,single,tertiary,no,696,no,yes,cellular,11,jul,2,-1,0,unknown,no
259,42,management,divorced,unknown,no,7702,no,no,cellular,16,feb,2,-1,0,unknown,yes
260,41,blue-collar,married,secondary,no,2689,yes,no,cellular,15,apr,1,-1,0,unknown,yes
261,50,management,single,unknown,no,1277,no,no,cellular,4,may,1,-1,0,unknown,no
262,34,management,married,tertiary,no,73,no,no,cellular,4,feb,2,-1,0,unknown,yes
263,55,management,divorced,tertiary,no,9756,yes,no,cellular,5,jun,2,95,1,other,yes
264,54,technician,married,secondary,no,114,no,no,cellular,30,jul,3,-1,0,unknown,yes
265,27,student,single,unknown,no,1444,no,no,cellular,2,feb,2,-1,0,unknown,no
266,31,admin.,single,secondary,no,476,no,no,cellular,9,feb,2,-1,0,unknown,no
267,31,blue-collar,divorced,secondary,no,1125,no,yes,unknown,15,may,1,-1,0,unknown,no
268,34,blue-collar,married,secondary,no,156,yes,no,cellular,29,jul,3,-1,0,unknown,no
269,51,technician,married,secondary,no,330,yes,no,unknown,13,may,4,-1,0,unknown,no
270,30,management,single,tertiary,no,78,yes,no,unknown,15,may,2,-1,0,unknown,no
271,58,admin.,married,secondary,no,4348,yes,no,cellular,23,jun,4,141,1,other,yes
272,39,blue-collar,married,primary,no,1004,yes,no,cellular,13,may,2,-1,0,unknown,no
273,23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,2,-1,0,unknown,yes
274,29,technician,married,secondary,no,23,yes,no,cellular,2,jun,1,55,2,failure,yes
275,31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,1,-1,0,unknown,yes
276,32,blue-collar,married,secondary,no,2526,yes,no,unknown,20,jun,8,-1,0,unknown,no
277,58,retired,divorced,secondary,no,219,no,no,unknown,5,jun,1,-1,0,unknown,no
278,60,retired,married,primary,no,71,no,no,cellular,10,jul,3,-1,0,unknown,no
279,32,blue-collar,married,secondary,no,759,yes,no,cellular,9,apr,5,-1,0,unknown,yes
280,39,blue-collar,married,secondary,no,62,yes,no,cellular,7,may,3,-1,0,unknown,yes
281,38,technician,single,secondary,no,-242,yes,no,cellular,18,may,3,278,6,success,yes
282,26,services,single,secondary,no,1445,no,no,telephone,23,oct,1,-1,0,unknown,yes
283,39,services,married,secondary,no,0,yes,yes,unknown,21,may,3,-1,0,unknown,no
284,51,management,single,secondary,no,1610,yes,no,unknown,16,jun,3,-1,0,unknown,yes
285,31,technician,married,secondary,no,4182,yes,no,cellular,4,may,2,-1,0,unknown,yes
286,30,self-employed,married,secondary,no,0,no,no,cellular,12,aug,3,-1,0,unknown,no
287,26,blue-collar,single,secondary,no,1006,yes,no,cellular,14,may,1,-1,0,unknown,yes
288,24,services,single,secondary,no,638,yes,yes,cellular,7,may,3,-1,0,unknown,yes
289,25,technician,single,secondary,no,7103,yes,no,cellular,28,may,3,10,1,failure,yes
290,37,unemployed,married,secondary,no,4969,yes,no,cellular,6,may,1,-1,0,unknown,no
291,27,self-employed,single,tertiary,no,147,no,no,cellular,22,jun,5,-1,0,unknown,no
292,51,management,divorced,tertiary,no,2011,yes,no,cellular,20,nov,3,-1,0,unknown,no
293,47,management,married,tertiary,no,2351,no,no,cellular,2,jun,2,84,1,success,yes
294,34,management,married,tertiary,no,351,no,no,cellular,30,jan,1,-1,0,unknown,no
295,32,blue-collar,married,secondary,no,10287,yes,no,cellular,27,may,4,188,1,failure,yes
296,29,management,married,tertiary,no,1441,yes,no,cellular,4,feb,2,-1,0,unknown,yes
297,37,admin.,single,tertiary,no,1000,yes,no,cellular,22,sep,1,99,2,success,yes
298,44,management,married,secondary,no,27,yes,no,unknown,29,may,1,-1,0,unknown,no
299,34,admin.,divorced,secondary,no,479,yes,no,cellular,12,may,1,350,5,failure,yes
300,27,technician,single,tertiary,no,4661,no,no,cellular,8,apr,1,-1,0,unknown,yes
301,47,technician,married,secondary,no,293,no,no,cellular,1,jun,1,90,1,success,yes
302,32,self-employed,married,tertiary,no,1423,no,no,cellular,6,aug,4,-1,0,unknown,yes
303,52,blue-collar,married,secondary,no,2230,no,no,cellular,29,oct,3,-1,0,unknown,yes
304,54,technician,married,secondary,no,473,no,yes,cellular,2,nov,1,81,1,failure,yes
305,26,blue-collar,single,secondary,no,384,yes,no,cellular,18,may,1,364,2,other,no
306,46,blue-collar,married,primary,no,804,yes,no,cellular,12,may,2,361,1,success,yes
